;file_name,rss_kb,price_max,time_microseconds
input01.in,58400,29636,64958
input02.in,58448,64939,103633
input03.in,58408,143449,119625
input04.in,58488,28840,119565
input05.in,58488,15785,144132
input06.in,58488,99861,193390
input07.in,58492,1922,307992
input08.in,58492,714,353456
input09.in,58492,9717,470001
input10.in,58492,17602,145450
input11.in,58492,29996,142662
input12.in,58492,49884,7792731
input13.in,58492,49396,3899053
input14.in,58492,20880,3914110
input15.in,58492,20676,852374
input16.in,58492,46218,849445
